V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,R2
2.60737+j2.49423,4.41651+j1.59614,4.99335-j0.00882965,4.63532-j1.28828,3.956-j2.02579,3.27998-j2.37063,2.7071-j2.4878,2.24666-j2.48413,1.88194-j2.41982,1.59282-j2.32733,3613.2
2.87195+j2.23235,4.30325+j1.14355,4.59495-j0.236734,4.23617-j1.25359,3.67049-j1.85417,3.10737-j2.15879,2.61657-j2.28221,2.20947-j2.30165,1.87763-j2.26385,1.60804-j2.19606,4702.8
1.96659+j2.82631,4.36325+j2.69549,5.92587+j0.779651,5.72634-j1.31529,4.70396-j2.49606,3.68356-j2.93897,2.8835-j3.01139,2.29117-j2.92622,1.85405-j2.782,1.52697-j2.62174,2450.4
2.7059+j2.40891,4.38446+j1.42932,4.84844-j0.0978539,4.48701-j1.27695,3.85074-j1.96202,3.21755-j2.29213,2.67532-j2.41227,2.23443-j2.4177,1.88152-j2.36348,1.59926-j2.28023,3933.6
2.63383+j2.47251,4.409+j1.55143,4.95469-j0.033305,4.59536-j1.28541,3.92774-j2.0086,3.26335-j2.3495,2.69875-j2.46755,2.24354-j2.46639,1.88196-j2.40483,1.59463-j2.31483,3692.4
2.82145+j2.29118,4.33191+j1.2315,4.67381-j0.195719,4.31315-j1.26132,3.72612-j1.88727,3.14181-j2.19978,2.6353-j2.32244,2.21772-j2.33776,1.87928-j2.29502,1.60565-j2.22251,4426.8
2.05996+j2.79687,4.40045+j2.532,5.78793+j0.633939,5.5442-j1.31766,4.58206-j2.41733,3.62252-j2.8453,2.86029-j2.92788,2.28842-j2.85784,1.86169-j2.7274,1.53956-j2.57827,2566.8
1.9534+j2.83002,4.3571+j2.71865,5.94542+j0.801356,5.75299-j1.31471,4.7217-j2.50759,3.69229-j2.95263,2.88671-j3.02347,2.29145-j2.93605,1.85286-j2.78981,1.52509-j2.62793,2434.8
2.84645+j2.26269,4.31819+j1.18812,4.63501-j0.216136,4.27518-j1.25757,3.69871-j1.87094,3.12489-j2.17957,2.62614-j2.30262,2.21372-j2.31999,1.87851-j2.27971,1.60686-j2.20953,4557.6
2.30939+j2.68935,4.44874+j2.10126,5.42425+j0.303337,5.10396-j1.31201,4.2827-j2.22746,3.46485-j2.61683,2.79441-j2.71961,2.27463-j2.68381,1.87576-j2.58611,1.56778-j2.46428,2943.6
2.56565+j2.52683,4.4268+j1.6666,5.05406+j0.0306954,4.69868-j1.29256,4.00068-j2.05303,3.30606-j2.40408,2.72005-j2.51975,2.25135-j2.51203,1.88175-j2.44332,1.58982-j2.34687,3496.8
2.4096+j2.63286,4.44856+j1.93059,5.27956+j0.189953,4.9413-j1.30584,4.1703-j2.15742,3.40275-j2.53171,2.76625-j2.64033,2.26662-j2.61623,1.87908-j2.53034,1.57717-j2.41869,3133.2
2.38377+j2.64823,4.44965+j1.97448,5.31683+j0.218275,4.98262-j1.30762,4.19895-j2.17521,3.41873-j2.55338,2.77362-j2.66059,2.26882-j2.63358,1.87835-j2.5447,1.57484-j2.43046,3081.6
2.78962+j2.32579,4.34812+j1.28639,4.72262-j0.169362,4.36126-j1.2659,3.76073-j1.90795,3.16304-j2.22537,2.64668-j2.34743,2.22261-j2.3601,1.8801-j2.31423,1.60401-j2.23876,4274.4
2.76846+j2.34783,4.35814+j1.32267,4.75473-j0.151609,4.3931-j1.26882,3.78359-j1.92164,3.17698-j2.24229,2.65408-j2.36392,2.22573-j2.37479,1.88055-j2.32683,1.60287-j2.24939,4180.8
2.32491+j2.68114,4.44942+j2.07474,5.40181+j0.285136,5.07833-j1.31118,4.26506-j2.21642,3.4552-j2.60344,2.79013-j2.7072,2.27348-j2.67328,1.87636-j2.57745,1.56931-j2.45722,2971.2
2.85169+j2.25657,4.31521+j1.179,4.62682-j0.220385,4.26719-j1.25676,3.69294-j1.86751,3.12131-j2.17531,2.62419-j2.29844,2.21286-j2.31625,1.87834-j2.27647,1.60711-j2.20678,4586.4
2.20963+j2.7377,4.43799+j2.27245,5.56892+j0.426468,5.27312-j1.31608,4.39855-j2.30035,3.52718-j2.70496,2.82145-j2.80072,2.2812-j2.75217,1.87116-j2.64201,1.55737-j2.50964,2779.2
2.59695+j2.50255,4.41926+j1.61374,5.00854+j0.00093261,4.6511-j1.28937,3.96715-j2.03257,3.28651-j2.37897,2.71036-j2.49577,2.24786-j2.49111,1.88192-j2.4257,1.59208-j2.33223,3583.2
2.72553+j2.39039,4.37673+j1.39597,4.81924-j0.11492,4.45758-j1.27448,3.82973-j1.94936,3.20492-j2.27652,2.66877-j2.39717,2.23178-j2.40432,1.88128-j2.35208,1.60043-j2.27065,4006.8
2.87336+j2.23063,4.30239+j1.14108,4.59271-j0.237866,4.23401-j1.25336,3.66893-j1.85324,3.10639-j2.15763,2.61604-j2.28107,2.20923-j2.30062,1.87758-j2.26297,1.6081-j2.19531,4711.2
2.57936+j2.51632,4.42363+j1.64343,5.03413+j0.0175701,4.67779-j1.29118,3.98598-j2.04405,3.2975-j2.39306,2.71582-j2.50924,2.24984-j2.50287,1.88184-j2.43561,1.59082-j2.34047,3534
2.8519+j2.25631,4.31508+j1.17862,4.62649-j0.22056,4.26685-j1.25673,3.6927-j1.86736,3.12116-j2.17513,2.62411-j2.29827,2.21282-j2.31609,1.87833-j2.27633,1.60712-j2.20667,4587.6
2.43045+j2.62002,4.44717+j1.89521,5.24948+j0.167522,4.90822-j1.30432,4.14731-j2.14318,3.38986-j2.51435,2.76026-j2.62405,2.26478-j2.60227,1.87961-j2.51875,1.57899-j2.40917,3176.4
2.58371+j2.51295,4.42258+j1.63609,5.0278+j0.013438,4.67118-j1.29074,3.98132-j2.04121,3.29478-j2.38957,2.71447-j2.50591,2.24936-j2.49996,1.88186-j2.43317,1.59114-j2.33844,3546
2.01579+j2.81149,4.38423+j2.6092,5.85305+j0.701156,5.62896-j1.3169,4.63892-j2.45395,3.65122-j2.88896,2.87137-j2.96694,2.2899-j2.88991,1.85826-j2.75308,1.53373-j2.59876,2510.4
2.79224+j2.32301,4.34684+j1.28188,4.71863-j0.171547,4.35731-j1.26553,3.75789-j1.90625,3.16131-j2.22326,2.64575-j2.34538,2.22222-j2.35827,1.88003-j2.31266,1.60415-j2.23743,4286.4
2.09337+j2.78497,4.41114+j2.47379,5.73881+j0.585014,5.48163-j1.31784,4.53994-j2.39031,3.601-j2.81301,2.8518-j2.89884,2.2871-j2.83387,1.86409-j2.70814,1.54377-j2.56286,2611.2
2.87556+j2.22795,4.30106+j1.13722,4.58923-j0.23963,4.23063-j1.25301,3.66648-j1.85179,3.10487-j2.15583,2.6152-j2.2793,2.20885-j2.29903,1.87749-j2.26158,1.6082-j2.19413,4724.4
2.66105+j2.44928,4.40044+j1.50538,4.91474-j0.0580354,4.55438-j1.28232,3.89867-j1.99098,3.24615-j2.32781,2.69002-j2.44671,2.2402-j2.44807,1.88188-j2.38931,1.59644-j2.30186,3778.8
2.64194+j2.46569,4.40653+j1.53771,4.9428-j0.0407208,4.58313-j1.2845,3.91907-j2.00334,3.25824-j2.34304,2.69617-j2.46135,2.24255-j2.46093,1.88194-j2.4002,1.59518-j2.31098,3717.6
