V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,X1,X2,X3,X4,X5,X6,X7
5.854631e+00+j7.443438e+00,1.346749e+01+j4.992252e+00,1.473428e+01-j2.932646e+00,1.082109e+01-j6.975813e+00,7.430113e+00-j7.655598e+00,5.261254e+00-j7.274015e+00,3.889437e+00-j6.667118e+00,2.986040e+00-j6.068281e+00,2.364123e+00-j5.533939e+00,1.918714e+00-j5.070472e+00,4.8705e-09,7.0176e-09,1975.2,3141.6,2682,2534.4,1260
7.061816e-01+j1.301874e+00,1.482261e+00+j1.551512e+00,2.233863e+00+j1.395999e+00,2.777953e+00+j9.549864e-01,3.054227e+00+j3.986242e-01,3.100031e+00-j1.388830e-01,2.990468e+00-j5.884285e-01,2.795606e+00-j9.319074e-01,2.565228e+00-j1.178076e+00,2.329512e+00-j1.345147e+00,3.34815e-09,6.94875e-09,2580,1710,1270.8,1507.5,1959.75
-1.507827e+01-j1.980637e+01,-7.438926e+00-j1.582287e+01,-4.305109e+00-j1.258502e+01,-2.779099e+00-j1.031912e+01,-1.934113e+00-j8.702904e+00,-1.420597e+00-j7.507456e+00,-1.086375e+00-j6.592832e+00,-8.571071e-01-j5.872734e+00,-6.931937e-01-j5.292154e+00,-5.720211e-01-j4.814669e+00,3.04215e-09,7.0431e-09,2468.4,2302.8,240000,2625.3,2195.25
4.391144e-01+j1.007320e+00,9.745600e-01+j1.315358e+00,1.577095e+00+j1.360007e+00,2.117732e+00+j1.157041e+00,2.504392e+00+j7.840994e-01,2.706880e+00+j3.412031e-01,2.746986e+00-j8.939401e-02,2.670531e+00-j4.603615e-01,2.523917e+00-j7.552008e-01,2.343121e+00-j9.762724e-01,4.9776e-09,3.50625e-09,2102.4,1963.2,1272,1962,1782
2.228189e+00+j4.270393e+00,7.774306e+00+j4.528872e+00,9.765401e+00-j2.513956e+00,5.683627e+00-j5.184357e+00,3.271477e+00-j4.833419e+00,2.094659e+00-j4.174085e+00,1.458968e+00-j3.614257e+00,1.078697e+00-j3.173079e+00,8.327196e-01-j2.824413e+00,6.639344e-01-j2.544103e+00,7.23945e-09,4.998e-09,3081.6,2437.2,2199.6,2370.6,1047
1.839228e+00+j3.204276e+00,3.980423e+00+j3.701031e+00,6.012743e+00+j2.910599e+00,7.199116e+00+j1.265799e+00,7.389453e+00-j4.880110e-01,6.914550e+00-j1.872591e+00,6.159064e+00-j2.788639e+00,5.362490e+00-j3.323009e+00,4.631603e+00-j3.594795e+00,3.999266e+00-j3.699611e+00,5.26575e-09,3.7893e-09,1500,3284.4,2079.6,2367.9,1305.75
1.127815e+00+j2.742646e+00,2.925172e+00+j3.775209e+00,5.418272e+00+j3.590389e+00,7.414767e+00+j1.684437e+00,7.694991e+00-j8.878321e-01,6.694003e+00-j2.717780e+00,5.408156e+00-j3.594655e+00,4.298207e+00-j3.878191e+00,3.440680e+00-j3.871716e+00,2.795283e+00-j3.739305e+00,4.59765e-09,3.8199e-09,2341.2,2493.6,2064,2280.6,1260.75
2.898545e+00+j5.087439e+00,6.946738e+00+j5.823057e+00,1.078495e+01+j3.353851e+00,1.176996e+01-j8.258854e-01,1.033017e+01-j3.933434e+00,8.300018e+00-j5.411223e+00,6.542054e+00-j5.880486e+00,5.195719e+00-j5.870163e+00,4.191976e+00-j5.657694e+00,3.440107e+00-j5.371698e+00,2.8917e-09,6.11235e-09,2588.4,3274.8,2400,1602.9,897.75
9.682656e-01+j1.018273e+00,1.679629e+00+j7.770625e-01,2.012396e+00+j2.319577e-01,1.999106e+00-j2.828699e-01,1.811463e+00-j6.421962e-01,1.574679e+00-j8.551975e-01,1.347247e+00-j9.654696e-01,1.148919e+00-j1.011327e+00,9.825566e-01-j1.018891e+00,8.450179e-01-j1.004513e+00,6.0333e-09,2.9631e-09,2731.2,3014.4,2840.4,468,1071
8.145462e-01+j1.926388e+00,1.919974e+00+j2.573868e+00,3.281919e+00+j2.618089e+00,4.514352e+00+j1.965890e+00,5.235733e+00+j8.398210e-01,5.347183e+00-j3.526610e-01,5.024669e+00-j1.318104e+00,4.502882e+00-j1.976498e+00,3.942432e+00-j2.372728e+00,3.421125e+00-j2.582416e+00,2.89425e-09,5.80125e-09,2016,1374,2241.6,1162.8,1968
