x1,x2,y
+0.405628-0.914038j,+0.887791+0.460247j,+8.319212+0.939862j
+0.600312-0.799766j,+0.351681+0.936120j,+4.614385+5.089662j
-0.996646-0.081832j,+0.517058-0.855950j,+1.146527-7.093098j
-0.012789+0.999918j,-0.683491+0.729959j,-5.506294+8.839427j
-0.889555+0.456829j,-0.512420+0.858735j,-6.768022+8.240367j
-0.807764-0.589505j,+0.303693-0.952770j,+0.006248-9.390677j
-0.017123+0.999853j,+0.468037-0.883709j,+3.692923-4.070112j
-0.053838-0.998550j,+0.066223-0.997805j,+0.368271-10.978088j
-0.754855-0.655891j,+0.936108+0.351712j,+5.224299+0.846025j
+0.362185-0.932106j,-0.835924-0.548846j,-5.600836-7.187083j
+0.816060-0.577968j,+0.540618+0.841268j,+6.773123+4.996242j
+0.091520+0.995803j,-0.910114-0.414359j,-7.006349-0.327459j
-0.901466-0.432850j,-0.233299-0.972405j,-4.570792-9.077789j
-0.999964+0.008467j,-0.915436+0.402464j,-10.323381+3.245110j
-0.185533-0.982638j,+0.891401-0.453215j,+6.574610-6.573638j
+0.779645+0.626222j,+0.433857-0.900982j,+5.809793-5.329188j
-0.019702-0.999806j,-0.996013+0.089211j,-8.027209-2.285733j
+0.999597-0.028395j,+0.863580+0.504212j,+9.907429+3.948513j
-0.450681+0.892685j,+0.572370+0.819995j,+3.226916+9.238018j
+0.994749+0.102341j,+0.392082-0.919930j,+6.120905-7.052419j
+0.312136+0.950037j,-0.996769+0.080318j,-7.037746+3.492652j
-0.931877-0.362773j,-0.932944-0.360021j,-10.259186-3.968487j
-0.274823-0.961495j,-0.988603-0.150548j,-8.733291-4.088868j
-0.131455-0.991322j,+0.493447-0.869776j,+3.553212-9.932172j
+0.801366-0.598175j,+0.856718-0.515785j,+9.257839-5.920808j
-0.062857+0.998023j,+0.571146-0.820848j,+4.380599-3.572719j
-0.596442-0.802656j,+0.673761+0.738949j,+3.600762+3.503626j
+0.999596+0.028414j,-0.330133+0.943934j,+0.357726+7.636718j
-0.565607-0.824675j,+0.963074-0.269238j,+6.007770-4.627928j
+0.597527+0.801849j,-0.928899-0.370333j,-5.638613-0.557115j
+0.673303+0.739367j,-0.552732+0.833359j,-2.401944+8.884976j
+0.325671-0.945483j,+0.728442+0.685107j,+6.804551+2.644409j
-0.095574+0.995422j,-0.228028-0.973655j,-2.110946-4.802969j
+0.247425+0.968907j,+0.417121+0.908851j,+4.079241+10.177530j
-0.915617-0.402052j,-0.067171+0.997741j,-3.284216+6.775777j
+0.941191-0.337874j,-0.714636-0.699497j,-2.893510-6.609598j
+0.971688+0.236268j,+0.917810+0.397021j,+10.257540+3.884972j
+0.599776+0.800168j,+0.043735+0.999043j,+2.149212+10.392849j
+0.911412+0.411494j,+0.112005+0.993708j,+3.630276+9.184144j
+0.070176-0.997535j,-0.248396-0.968659j,-1.776639-10.741872j
+0.622258+0.782812j,+0.936726+0.350064j,+9.360581+5.148948j
-0.060039+0.998196j,+0.493722-0.869620j,+3.769658-3.962371j
-0.999960-0.008992j,+0.195973+0.980609j,-1.432096+7.817899j
-0.413377+0.910560j,+0.018901-0.999821j,-1.088928-5.266891j
-0.985345-0.170572j,+0.343753+0.939060j,-0.206012+7.000765j
+0.251818+0.967775j,-0.952458-0.304669j,-6.864211+0.465968j
-0.540535+0.841322j,-0.448624-0.893721j,-5.210594-4.625800j
-0.753495-0.657453j,-0.589787+0.807558j,-6.978786+4.488109j
-0.652431+0.757848j,-0.834632-0.550808j,-8.634347-2.132922j
-0.356889-0.934147j,+0.979516+0.201365j,+6.765463-1.191521j
+0.992536+0.121955j,+0.681180+0.732116j,+8.427050+6.222789j
+0.000626+1.000000j,+0.944296-0.329098j,+7.556243+0.367215j
+0.770360+0.637610j,-0.810371+0.585917j,-4.171889+6.600167j
-0.998523+0.054328j,-0.199429-0.979912j,-4.591002-7.676313j
-0.908107+0.418738j,-0.999991+0.004308j,-10.724248+1.290678j
+0.951408-0.307935j,+0.164227+0.986423j,+4.168039+6.967577j
-0.833600+0.552369j,+0.996148-0.087693j,+5.468381+0.955564j
+0.287013-0.957927j,-0.999043-0.043729j,-7.131308-3.223609j
+0.407047+0.913407j,+0.901418+0.432950j,+8.432484+6.203821j
-0.297329+0.954775j,+0.930944+0.365161j,+6.555566+5.785617j
+0.369972+0.929043j,+0.844520-0.535524j,+7.866073-1.497066j
+0.383185+0.923672j,-0.238374-0.971174j,-0.757436-4.998373j
-0.636004+0.771686j,-0.884701+0.466159j,-8.985619+6.044332j
-0.867066+0.498193j,+0.540271+0.841491j,+1.720973+8.226505j
-0.988303+0.152503j,-0.599658-0.800256j,-7.762173-5.944541j
+0.995811-0.091439j,-0.286899+0.957961j,+0.692241+7.389369j
